codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida,entidad
0052055230,0111,2025-11-26T00:16:00.000,2,AEROPUERTO SAN LUIS,NARIÑO,ALDANA,PATÍA,0.857083333,-77.67775,GPRS - VELOCIDAD DEL VIENTO,m/s,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
0052055230,0028,2025-11-26T00:18:00.000,86,AEROPUERTO SAN LUIS,NARIÑO,ALDANA,PATÍA,0.857083333,-77.67775,GPRS - HUMEDAD DEL AIRE A 2 m,%,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
0052055230,0258,2025-11-25T05:20:00.000,716.3,AEROPUERTO SAN LUIS,NARIÑO,ALDANA,PATÍA,0.857083333,-77.67775,GPRS - PRESIÓN ATMOSFÉRICA,hPA,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
0052055230,0258,2025-11-26T00:18:00.000,715.7,AEROPUERTO SAN LUIS,NARIÑO,ALDANA,PATÍA,0.857083333,-77.67775,GPRS - PRESIÓN ATMOSFÉRICA,hPA,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
0052055230,0071,2025-11-26T00:18:00.000,12,AEROPUERTO SAN LUIS,NARIÑO,ALDANA,PATÍA,0.857083333,-77.67775,GPRS - TEMPERATURA DEL AIRE A 2 m,°C,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
0052055230,0111,2025-11-26T00:18:00.000,2.3,AEROPUERTO SAN LUIS,NARIÑO,ALDANA,PATÍA,0.857083333,-77.67775,GPRS - VELOCIDAD DEL VIENTO,m/s,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
0052055230,0258,2025-11-26T01:50:00.000,716.6,AEROPUERTO SAN LUIS,NARIÑO,ALDANA,PATÍA,0.857083333,-77.67775,GPRS - PRESIÓN ATMOSFÉRICA,hPA,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
0052055230,0240,2025-11-26T01:50:00.000,0,AEROPUERTO SAN LUIS,NARIÑO,ALDANA,PATÍA,0.857083333,-77.67775,PRECIPITACIÓN,mm,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
0052055230,0104,2025-11-26T01:50:00.000,78.8,AEROPUERTO SAN LUIS,NARIÑO,ALDANA,PATÍA,0.857083333,-77.67775,DIRECCIÓN DEL VIENTO,GN,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
0052055230,0028,2025-11-26T00:20:00.000,87,AEROPUERTO SAN LUIS,NARIÑO,ALDANA,PATÍA,0.857083333,-77.67775,GPRS - HUMEDAD DEL AIRE A 2 m,%,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
0052055230,0111,2025-11-26T01:50:00.000,1.5,AEROPUERTO SAN LUIS,NARIÑO,ALDANA,PATÍA,0.857083333,-77.67775,GPRS - VELOCIDAD DEL VIENTO,m/s,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
0052055230,0103,2025-11-26T01:50:00.000,1.8,AEROPUERTO SAN LUIS,NARIÑO,ALDANA,PATÍA,0.857083333,-77.67775,VELOCIDAD DEL VIENTO,m/s,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
0052055230,0103,2025-11-25T05:20:00.000,0.5,AEROPUERTO SAN LUIS,NARIÑO,ALDANA,PATÍA,0.857083333,-77.67775,VELOCIDAD DEL VIENTO,m/s,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
0052055230,0071,2025-11-26T00:20:00.000,11.9,AEROPUERTO SAN LUIS,NARIÑO,ALDANA,PATÍA,0.857083333,-77.67775,GPRS - TEMPERATURA DEL AIRE A 2 m,°C,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
0052055230,0071,2025-11-26T01:50:00.000,12,AEROPUERTO SAN LUIS,NARIÑO,ALDANA,PATÍA,0.857083333,-77.67775,GPRS - TEMPERATURA DEL AIRE A 2 m,°C,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
0052055230,0257,2025-11-26T01:50:00.000,0,AEROPUERTO SAN LUIS,NARIÑO,ALDANA,PATÍA,0.857083333,-77.67775,GPRS - PRECIPITACIÓN,mm,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
0052055230,0111,2025-11-26T00:20:00.000,1,AEROPUERTO SAN LUIS,NARIÑO,ALDANA,PATÍA,0.857083333,-77.67775,GPRS - VELOCIDAD DEL VIENTO,m/s,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
0052055230,0257,2025-11-26T07:02:00.000,0,AEROPUERTO SAN LUIS,NARIÑO,ALDANA,PATÍA,0.857083333,-77.67775,GPRS - PRECIPITACIÓN,mm,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
0052055230,0257,2025-11-26T00:20:00.000,0,AEROPUERTO SAN LUIS,NARIÑO,ALDANA,PATÍA,0.857083333,-77.67775,GPRS - PRECIPITACIÓN,mm,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
0052055230,0104,2025-11-26T00:20:00.000,145,AEROPUERTO SAN LUIS,NARIÑO,ALDANA,PATÍA,0.857083333,-77.67775,DIRECCIÓN DEL VIENTO,GN,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES
